"","x"
"1",1.696374703884
"2",1.11244750642937
"3",0.685597752705915
"4",0.43630770291667
"5",0.294976874171885
"6",0.210055219491924
"7",0.15616737672576
"8",0.120175020921677
"9",0.0950927699855129
"10",9.29808618461282
"11",16.976742048368
"12",24.2529497988105
"13",33.6075775092414
"14",0.00119792228452701
"15",0.00119503094832053
"16",4.04388935986472e-06
"17",0.0877529194594473
